sample_fp	plate	well	tile
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-106__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	106
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-107__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	107
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-108__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	108
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-109__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	109
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-110__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	110
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-111__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	111
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-112__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	112
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-113__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	113
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-114__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	114
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-115__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	115
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-116__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	116
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-117__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	117
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-118__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	118
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-119__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	119
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-120__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	120
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-121__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	121
